,cty_fips,czone,shnr_pres2000,shnr_pres2008,shnr_pres2016,totvote_2000pres,d_imp_usch_pd_0008,d_imp_otch_lag_pd_0008,l_shind_manuf_cbp,l_sh_routine33,l_task_outsource,shnr_pres1992,shnr_pres1996,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_sh_pop_f,l_sh_pop_edu_c,l_sh_fborn,l_sh_pop_age_1019,l_sh_pop_age_2029,l_sh_pop_age_3039,l_sh_pop_age_4049,l_sh_pop_age_5059,l_sh_pop_age_6069,l_sh_pop_age_7079,l_sh_pop_age_8000,l_sh_pop_white,l_sh_pop_black,l_sh_pop_asian,l_sh_pop_hispanic
2466,31137.0,28609.0,79.281685,76.19434,87.06457,4627.0,0.6648211195381464,0.7155857203889706,0.33349442,2579.1704,-0.8507919,76.82726,73.79272,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.50990045,0.5319116,0.008412845,0.15071304,0.089360826,0.13286139,0.15040526,0.11459936,0.08925823,0.0757156,0.060326256,0.97794193,0.0011285524,0.002770083,0.022571048
2467,31063.0,28609.0,81.86898,74.763985,87.33543,1393.0,0.6648211195381464,0.7155857203889706,0.33349442,2579.1704,-0.8507919,72.22142,74.40156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4988706,0.53632146,0.009680542,0.19328816,0.10422717,0.105195224,0.14682156,0.11487576,0.09874153,0.069699906,0.048725396,0.9828977,0.0009680542,0.0025814779,0.009680542
2468,31047.0,28609.0,76.001656,69.47465,73.69205,7507.0,0.6648211195381464,0.7155857203889706,0.33349442,2579.1704,-0.8507919,73.029274,68.74061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4957521,0.3814168,0.15867022,0.15395033,0.121116355,0.13876462,0.139134,0.10301662,0.071824335,0.06176893,0.043956496,0.82323,0.0031192284,0.006607839,0.25356042
2469,31083.0,28609.0,75.613525,76.77788,85.48995,1852.0,0.6648211195381464,0.7155857203889706,0.33349442,2579.1704,-0.8507919,67.02888,68.290474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5050185,0.47850466,0.0034337032,0.14791337,0.06365557,0.10802958,0.14844163,0.12810354,0.11384047,0.104067616,0.07078711,0.9886424,0.001320655,0.00079239305,0.0076597994
2470,31073.0,28609.0,76.847855,74.90391,82.70384,1014.0,0.6648211195381464,0.7155857203889706,0.33349442,2579.1704,-0.8507919,65.95027,68.89358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49510032,0.49901122,0.0051329914,0.14232385,0.07839477,0.11805879,0.14745684,0.12972468,0.119925335,0.08772749,0.0629958,0.9878675,0.0,0.0023331777,0.01259916
2471,8097.0,28702.0,38.268158,25.258463,25.798553,7800.0,0.06069161474979623,0.04773331300604755,0.022392748,2658.2268,-0.52800864,30.619997,33.27039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4649005,0.8539128,0.10872781,0.09433836,0.15754437,0.19136633,0.20010759,0.16285637,0.06656805,0.030997848,0.009480904,0.9433163,0.0053119957,0.011229156,0.06542496
2472,8065.0,28702.0,44.893856,36.702778,44.003548,2628.0,0.06069161474979623,0.04773331300604755,0.022392748,2658.2268,-0.52800864,29.788458,35.23482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46338964,0.52208066,0.15578596,0.14618535,0.18766001,0.16026625,0.15642601,0.09075781,0.061443932,0.028801844,0.012800819,0.77598566,0.0017921147,0.0030721966,0.36136714
2473,8117.0,28702.0,45.883682,33.248783,34.793644,11068.0,0.06069161474979623,0.04773331300604755,0.022392748,2658.2268,-0.52800864,40.284004,45.09256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.418337,0.75599873,0.11627314,0.097587906,0.277221,0.20655683,0.16472736,0.095676914,0.04068286,0.013079667,0.0029726515,0.9183795,0.0067946324,0.0087056225,0.09792764
2474,8037.0,28702.0,51.411133,38.275234,38.9338,15188.0,0.06069161474979623,0.04773331300604755,0.022392748,2658.2268,-0.52800864,44.479103,47.651787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4523872,0.700861,0.18180946,0.11910991,0.21128687,0.2081903,0.17316787,0.09820207,0.03547853,0.012746345,0.004080751,0.85354906,0.0034086271,0.008209511,0.23241076
2475,8057.0,28704.0,79.76847,69.253395,78.62447,925.0,0.3245637418004126,0.1677827342412428,0.07514917,2895.9358,-0.60289395,66.14686,68.643364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49651235,0.5018215,0.019023463,0.15282181,0.073557384,0.14267597,0.1769182,0.14648066,0.09511731,0.06087508,0.027901078,0.9619531,0.0025364617,0.0006341154,0.06531389
2476,8123.0,28800.0,61.48297,54.446255,62.231995,64541.0,0.7100294832242353,1.6744130104629633,0.17756315,2901.087,-0.10846391,52.067112,55.429085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49862385,0.52765775,0.09258522,0.16725251,0.16128908,0.14835632,0.14621745,0.0974654,0.05858425,0.040500507,0.023113145,0.81705135,0.005648406,0.008334438,0.27045473
2477,8087.0,28800.0,66.481964,62.19178,72.10164,8998.0,0.7100294832242353,1.6744130104629633,0.17756315,2901.087,-0.10846391,55.50379,57.655872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4989879,0.4043575,0.14633249,0.16116448,0.12045931,0.14313054,0.14250487,0.09304038,0.073166244,0.05653086,0.039785065,0.796511,0.0033491591,0.0017297855,0.31183982
2478,8019.0,28900.0,50.6606,40.835552,48.551205,4924.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,43.74101,48.380405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47897446,0.71918833,0.018558249,0.12379318,0.088285774,0.16423514,0.22977902,0.16112423,0.068225704,0.031752843,0.01308732,0.96374166,0.002789101,0.003647286,0.038725596
2479,8013.0,28900.0,42.09797,26.556946,23.824995,139626.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,34.198967,39.84087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49443847,0.7772047,0.09364958,0.14383017,0.17703441,0.16346708,0.17356361,0.11033753,0.052164868,0.03421356,0.020762956,0.88540894,0.00878512,0.030605448,0.104556315
2480,8047.0,28900.0,47.79248,39.197117,48.93831,2465.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,38.88642,46.04977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47004414,0.68494713,0.03384486,0.115619086,0.118772335,0.19192769,0.22787471,0.14841287,0.050451964,0.02900988,0.007147362,0.943662,0.0052554132,0.0069371453,0.04246374
2481,8059.0,28900.0,54.334396,45.423073,46.215622,235491.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,50.5664,53.151077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5024874,0.69239056,0.053884216,0.14483091,0.12008591,0.16144204,0.18236582,0.12508158,0.06582033,0.044245772,0.0228951,0.90588856,0.00887382,0.022836283,0.09951314
2482,8031.0,28900.0,33.2902,23.393238,20.403975,198347.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,31.240786,32.723312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49479115,0.5888784,0.17417009,0.11462292,0.19158871,0.17730007,0.14248264,0.10020626,0.058633048,0.05290677,0.03200838,0.6530048,0.11115218,0.028146388,0.31679156
2483,8093.0,28900.0,60.579777,53.53442,64.19928,6665.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,53.92615,59.06923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48288924,0.66618454,0.021827446,0.1290367,0.07581078,0.17055705,0.23156373,0.1542381,0.07085313,0.033739585,0.009157888,0.9506989,0.0049576536,0.0041313777,0.043241754
2484,8005.0,28900.0,54.20177,43.444706,42.269394,189942.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,52.020668,54.789646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.50728226,0.7014942,0.1095197,0.14754276,0.13889259,0.16379796,0.1727248,0.11544223,0.057061236,0.039894093,0.0210629,0.79933274,0.07670191,0.039467834,0.118065365
2485,8001.0,28900.0,46.770603,40.640293,45.33494,107852.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,40.48424,43.14856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4929986,0.48057324,0.12529097,0.14823131,0.15960391,0.173472,0.14779158,0.095892064,0.056637634,0.03649511,0.015761686,0.77291626,0.02973146,0.032051053,0.2819377
2486,8035.0,28900.0,67.410484,58.711044,59.903645,86225.0,0.5730744354735097,0.8050373894791889,0.09890228,3191.1155,0.61050045,65.04555,66.43018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.50080216,0.838059,0.051574253,0.14098859,0.097248614,0.20974478,0.18600298,0.109008566,0.039677754,0.019304074,0.006753297,0.9277335,0.009535405,0.02505604,0.05055585
2487,20097.0,29001.0,81.107895,82.0149,88.75292,1608.0,0.14985348968960466,0.14468863404268006,0.066826224,2815.9097,-0.97496617,74.86273,79.242966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.509457,0.5518635,0.018608907,0.14643075,0.09670531,0.104636975,0.14826113,0.12172056,0.09823063,0.10097621,0.060707748,0.9719341,0.0021354484,0.0027455767,0.020439291
2488,20007.0,29001.0,73.370926,75.40004,86.610435,2498.0,0.14985348968960466,0.14468863404268006,0.066826224,2815.9097,-0.97496617,61.73951,69.91001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5198794,0.5298958,0.004522329,0.16110797,0.066704355,0.116449974,0.15752779,0.12003015,0.10533258,0.09854908,0.059543997,0.97060484,0.0037686075,0.0009421519,0.02016205
2489,20083.0,29003.0,79.37739,80.39116,87.33638,1088.0,0.3081104102602694,0.24140419997249252,0.35166833,2922.0718,-0.47118217,70.782295,76.30249,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.50695443,0.5625,0.010071943,0.18752998,0.06714629,0.12470024,0.15683453,0.10359712,0.090167865,0.08585132,0.05995204,0.9731415,0.00911271,0.0,0.026858512
